SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_1732	3.22	3.36	12.38	33.89	19.80	3.90	40.97	10.01	9.05	27.18	31.55	33.84	10.42	35.66	25.94	51.12	109.77
SL1344_0170	9.31	5.56	20.71	28.54	62.23	8.74	58.22	15.05	16.39	7.37	16.69	61.52	15.15	67.99	10.93	43.94	42.25
SL1344_1733	71.93	66.80	74.31	83.40	32.77	89.23	76.46	164.60	59.79	133.64	71.49	56.94	66.53	69.95	68.51	76.02	182.74
SL1344_1734	39.46	39.59	33.92	18.59	5.07	25.52	50.38	65.78	47.74	28.18	39.04	65.88	54.52	34.19	13.26	33.93	27.81
SL1344_1735	304.05	236.03	184.26	79.14	9.15	303.92	154.50	264.92	270.05	105.61	132.86	192.13	195.12	245.54	43.32	134.99	161.77
SL1344_1736	5.40	6.12	5.06	1.79	18.96	9.73	2.89	8.76	10.83	4.37	4.40	2.74	3.92	5.42	5.78	279.69	283.87
SL1344_1737	244.85	320.40	429.18	488.44	135.13	180.62	1060.45	579.15	557.52	839.02	651.38	527.94	84.18	108.00	241.17	202.80	140.20
SL1344_ncRNA_117	19.43	16.82	95.93	103.10	53.52	22.75	137.09	68.36	52.75	60.04	75.99	113.11	19.45	45.38	31.45	52.29	17.62
SL1344_1738	30.25	19.40	55.32	115.18	291.37	47.43	137.74	40.26	31.29	87.05	120.51	62.19	45.35	99.91	114.44	127.61	97.35
SL1344_1739	125.18	88.53	64.30	29.81	12.00	98.97	62.65	94.21	68.71	26.46	33.91	67.62	93.90	50.43	5.02	26.75	74.87
SL1344_1740	61.72	48.68	40.03	46.19	56.80	31.47	38.10	67.30	63.42	39.28	45.93	70.48	67.82	41.54	18.20	37.79	54.37
SL1344_1741	93.84	88.05	69.64	77.28	359.76	76.21	102.81	175.46	104.73	78.79	81.00	105.16	134.61	98.81	72.51	103.51	98.44
SL1344_0171	308.09	259.60	167.16	77.12	48.84	288.65	120.93	272.24	156.40	46.52	58.34	115.34	130.24	99.10	23.66	61.43	73.00
SL1344_1742	125.47	136.93	175.85	148.46	16.71	99.74	121.85	221.35	152.25	96.61	111.80	247.50	147.97	79.90	11.03	59.53	94.32
SL1344_1743	199.40	261.13	278.45	237.72	6.81	165.51	168.54	333.09	287.28	181.09	193.92	325.80	212.84	129.36	42.31	110.60	130.76
SL1344_1744	224.44	297.59	383.72	332.22	13.56	197.52	205.43	533.89	403.78	287.87	288.23	415.24	301.88	207.05	127.22	199.42	134.99
SL1344_1745	19.06	8.93	10.98	5.24	1.93	14.97	2.77	6.93	5.39	3.25	4.77	11.16	9.13	7.23	1.75	5.84	18.34
SL1344_1747	41.90	26.14	41.27	26.89	43.21	35.37	13.24	26.66	19.50	12.23	14.77	21.58	20.85	15.41	35.64	11.51	83.06
SL1344_1748	85.85	74.49	40.78	21.38	4.39	74.49	32.20	54.58	53.90	17.26	26.69	45.60	53.93	39.64	11.80	20.71	63.06
SL1344_1749	123.66	100.51	67.08	17.14	5.46	150.80	124.66	109.44	78.64	20.09	21.78	58.31	90.64	41.42	3.57	24.98	69.69
SL1344_1750	29.25	27.03	17.28	7.68	0.52	23.02	12.72	34.05	24.06	8.59	8.91	22.79	23.22	16.21	1.93	8.37	24.86
SL1344_1751	428.74	539.13	319.02	248.90	29.82	632.64	1486.39	673.36	447.92	373.09	298.14	300.85	560.26	444.30	192.27	349.13	206.20
SL1344_0172	389.25	398.01	191.42	71.67	19.44	282.80	450.89	542.91	459.93	86.39	56.30	197.61	457.74	459.62	62.25	246.99	332.30
SL1344_1752	194.63	168.62	113.08	104.65	39.60	203.15	173.26	222.74	186.26	138.56	107.60	99.26	86.58	89.21	99.07	84.29	93.75
SL1344_1753	23.74	29.23	27.22	23.44	2.28	20.17	27.19	37.91	33.70	22.65	22.19	45.71	31.30	37.51	6.78	21.68	67.53
SL1344_1754	12.48	20.03	19.92	11.63	1.61	9.33	9.37	22.86	16.89	8.91	10.39	26.43	18.15	21.24	2.67	11.19	32.96
SL1344_1755	77.41	123.86	103.66	59.19	3.51	113.13	19.85	153.06	64.51	43.52	44.20	76.64	19.15	22.94	5.40	15.49	38.47
SL1344_1756	1.63	2.02	4.67	5.28	5.90	2.50	4.92	2.94	2.31	3.39	5.39	5.65	3.38	6.58	1.23	8.64	9.47
SL1344_1757	12.60	11.32	9.85	5.03	0.68	4.61	3.37	10.10	10.92	7.13	5.78	8.93	9.13	14.14	0.99	8.10	52.27
SL1344_1759	62.15	74.13	142.21	245.16	8.29	36.14	33.23	109.20	50.31	503.47	110.73	25.01	283.99	84.95	191.61	26.41	614.31
SL1344_1760	38.56	51.49	87.18	118.73	3.11	24.37	15.18	48.54	36.76	299.85	67.69	21.30	189.89	54.31	72.07	16.02	565.89
SL1344_1761	55.50	61.14	113.89	184.32	8.17	28.14	22.71	59.72	50.95	461.58	97.73	35.04	245.00	101.81	189.18	39.06	649.54
