SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_2893	3.31	3.22	3.07	6.11	4.88	2.35	1.89	7.96	12.41	3.19	1.43	2.51	2.23	0.64	0.51	1.42	3.01
SL1344_2894	2.32	3.35	2.76	4.13	2.09	2.10	2.77	9.83	17.41	2.01	0.97	2.67	1.25	0.58	0.34	0.57	2.49
SL1344_2895	2.42	3.36	2.33	4.98	4.34	2.42	5.06	16.66	19.77	2.30	0.85	2.83	1.32	0.32	0.25	0.86	2.35
SL1344_2896	1.48	3.09	2.27	4.62	3.01	2.45	5.21	20.57	32.11	1.55	0.97	4.12	1.43	0.40	0.34	0.52	1.64
SL1344_2897	3.06	5.42	2.44	7.34	4.18	4.19	13.46	34.54	68.89	1.91	1.70	3.68	1.29	0.93	0.69	1.19	2.36
SL1344_2898	12.94	16.09	9.86	12.91	2.68	18.32	38.47	42.66	46.79	17.65	11.06	13.34	8.27	5.21	5.10	5.41	13.93
SL1344_2899	28.29	34.44	22.33	35.22	7.60	18.06	52.93	59.14	58.19	92.38	34.56	27.99	21.64	22.19	27.08	16.55	17.04
SL1344_2900	1.95	0.66	0.56	1.34	5.08	0.72	2.01	1.80	1.26	0.49	0.57	0.54	0.67	4.84	6.30	3.57	7.02
SL1344_2901	1.84	1.23	1.00	1.33	2.53	1.14	0.42	2.50	1.26	2.53	1.53	1.34	1.21	1.41	0.60	1.66	3.99
SL1344_2902	2.72	1.10	1.17	1.42	1.53	1.09	1.01	0.60	2.53	3.73	1.73	2.02	2.81	2.35	0.68	2.79	4.15
SL1344_0281	3.42	1.40	1.88	3.14	3.44	0.98	1.82	1.90	1.23	1.61	2.16	2.56	2.30	1.85	1.08	2.60	3.28
SL1344_2903	280.51	229.48	654.76	719.81	58.57	236.27	869.34	589.23	313.26	92.88	303.98	916.32	838.28	364.93	407.93	636.35	1509.55
SL1344_2904	278.58	226.80	608.47	671.36	74.13	277.72	1098.14	447.17	441.19	118.06	349.24	1031.72	881.69	745.18	864.68	591.63	1518.88
SL1344_2905	77.23	76.24	67.48	64.83	8.27	63.09	28.05	130.22	68.79	44.48	84.11	72.08	63.92	50.37	16.62	55.93	59.26
SL1344_2906	67.33	64.34	56.23	55.78	11.79	47.61	28.57	117.80	57.86	55.85	68.29	69.61	51.07	42.56	21.04	46.87	64.34
SL1344_2907	75.34	68.56	52.64	47.65	4.82	51.07	26.19	140.66	48.45	46.85	48.12	63.25	50.73	31.74	13.28	28.88	65.07
SL1344_2908	78.14	58.51	40.42	27.16	2.64	54.31	9.48	127.75	30.23	15.30	28.44	43.66	40.47	25.87	3.45	18.16	56.76
SL1344_2909	90.88	71.89	49.04	32.51	4.24	70.13	14.97	125.66	39.42	21.19	39.62	53.23	49.45	24.83	3.61	20.85	48.99
SL1344_2910	168.46	178.13	125.57	79.14	4.65	155.14	92.19	307.51	120.22	141.37	88.05	126.99	106.07	75.15	16.13	41.95	149.38
SL1344_2912	8.28	8.49	8.73	90.80	5.47	6.95	22.71	13.91	12.83	14.05	11.82	9.91	353.08	155.19	116.17	273.04	30.63
SL1344_0282	2.78	1.09	2.64	4.48	3.62	1.24	4.31	3.43	2.15	3.76	2.46	3.32	2.65	2.66	0.90	4.30	6.15
SL1344_2913	5.40	4.70	5.35	66.93	4.64	4.18	9.88	5.75	5.45	19.22	7.38	6.53	281.64	92.55	74.91	206.17	13.71
SL1344_2914	3.11	1.72	1.33	88.92	2.45	1.23	13.42	4.16	0.99	1.61	1.65	1.75	424.02	137.91	105.38	365.70	18.55
SL1344_2915	16.76	13.99	32.60	25.22	4.43	15.92	10.05	19.30	15.63	22.98	50.73	58.61	12.33	18.68	6.73	15.41	29.66
SL1344_2916	11.28	5.71	9.66	11.45	6.31	7.25	4.04	17.35	6.81	15.51	18.87	8.79	9.25	12.08	4.33	11.24	42.57
SL1344_2917	7.61	4.24	7.17	9.63	4.84	2.99	3.51	8.68	6.81	13.06	12.22	8.94	6.67	6.13	2.67	5.56	17.75
